Property Reference,Property Description,Rateable Value,Account Name,Liability Start Date,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Property Address 5,Property Post Code,Empty Date,Exemption Code
31620002200012,RESTAURANT AND PREMISES,"£26,250.00",REDACTED,19/06/2023,22 North End Road,London,,,,NW11 7PT,19/06/2023,NONE
20280014700004,SHOP AND PREMISES,"£16,750.00",REDACTED,30/04/2025,147 Hale Lane,Edgware,,,,HA8 9QW,22/05/2025,NONE
22400098300012,SHOP AND PREMISES,"£16,750.00",REDACTED,20/03/2025,983 High Road,London,,,,N12 8QR,20/03/2025,NONE
8740002410031,SHOP AND PREMISES,"£6,400.00",REDACTED,01/09/2024,24b Church Lane,London,,,,N2 8DT,01/09/2024,NONE
1902009051005B,WORKSHOP AND PREMISES,"£6,200.00",REDACTED,13/03/2017,Unit 9d Meadow Works,Great North Road,Barnet,Hertfordshire,,EN5 1AD,16/04/2025,INDUSTRIAL
44760006100001,SHOP AND PREMISES,"£20,750.00",REDACTED,11/12/2024,61-63 Watford Way,London,,,,NW4 3AX,01/04/2025,NONE
32600000010293,OFFICES AND PREMISES,"£2,000.00",REDACTED,17/12/2014,Room 124b Gnd Flr Building 3,North London Business Park,Oakleigh Road South,London,,N11 1GN,25/07/2017,DE-MINIMUS RATEABLE VALUE
8840008900003,SHOP AND PREMISES,"£22,500.00",REDACTED,01/06/2025,87-89 Church Road,London,,,,NW4 4DP,01/06/2025,NONE
3444000070001B,SHOP AND PREMISES,"£4,550.00",REDACTED,01/04/2012,7 Plantagenet Road,Barnet,,,,EN5 5JG,24/02/2006,NONE
22400079400002,SHOP AND PREMISES,"£37,000.00",REDACTED,10/04/2025,794 High Road,London,,,,N12 9QU,22/07/2025,3 MONTHS
1582100001004B,OFFICES AND PREMISES,"£4,700.00",REDACTED,23/04/2015,R/o,3 Ashbourne Parade,Finchley Road,London,,NW11 0AD,23/04/2015,NONE
16720000010081,CAR PARKING SPACES AND PREMISES,"£1,200.00",REDACTED,31/01/2025,Car Parking Spaces At 2nd Flr Unit 1,Mountview Court,Friern Barnet Lane,London,,N20 0LD,31/01/2025,DE-MINIMUS RATEABLE VALUE
2350100040000A,SHOP AND PREMISES,"£13,750.00",REDACTED,04/05/2022,4 Holders Hill Parade,London,,,,NW7 1LY,30/07/2024,NONE
8700003000002,OFFICES AND PREMISES,"£3,550.00",REDACTED,28/05/2025,30 Church Hill Road,Barnet,,,,EN4 8TB,28/05/2025,NONE
1582006691003B,RECORDING STUDIO,"£1,525.00",REDACTED,08/04/2024,Basement,669 Finchley Road,London,,,NW2 2JP,12/12/2024,DE-MINIMUS RATEABLE VALUE
22420132510038,OFFICES AND PREMISES,"£8,700.00",REDACTED,11/09/2023,1st Fl,1325 High Road,London,,,N20 9HR,11/09/2023,NONE
2480000010013,CAFE AND PREMISES,"£18,500.00",REDACTED,01/04/2023,Django Lounge,Scratchwood Park,Barnet Way,London,,NW7 3AL,11/11/2021,NONE
15820074610043,OFFICES AND PREMISES,"£15,500.00",REDACTED,27/03/2024,Gnd Fl Left,746 Finchley Road,London,,,NW11 7TH,13/09/2024,NONE
0246001291002A,LAND USED FOR CAR SALES,"£49,750.00",REDACTED,05/03/2023,Arman Car Sales,129 Barnet Road,Barnet,Hertfordshire,,EN5 3LJ,05/03/2023,LAND
1850020183003A,OFFICES AND PREMISES,"£17,500.00",REDACTED,28/09/2025,Unit 3 Hurricane Trading Centre,Avion Crescent,London,,,NW9 5QY,10/09/2025,3 MONTHS
22440017100008,OFFICES AND PREMISES,"£9,200.00",REDACTED,01/04/2000,171 High Street,Barnet,,,,EN5 5SU,20/08/2014,NONE
13821000100005,SHOP AND PREMISES,"£32,500.00",REDACTED,30/07/2024,1 The Promenade,Edgware,,,,HA8 7JZ,30/07/2024,NONE
22000000210022,LAND USED FOR STORAGE AND PREMISES,"£6,100.00",REDACTED,01/01/2004,2 Heriot Road,London,,,,NW4 2DG,16/04/2015,LAND
22380010110026,OFFICES AND PREMISES,"£15,000.00",REDACTED,25/12/2024,1st Fl 101,High Road,London,,,N2 8AG,25/12/2024,NONE
0994000850001B,SHOP AND PREMISES,"£12,750.00",REDACTED,01/01/2020,85 Colney Hatch Lane,London,,,,N10 1LR,06/09/2012,NONE
39120000310062,OFFICES AND PREMISES,"£2,100.00",REDACTED,01/06/2023,Gnd Flr Front Left 3,Shakespeare Road,London,,,N3 1XE,01/06/2023,DE-MINIMUS RATEABLE VALUE
11040002600005,PUBLIC HOUSE AND PREMISES,"£22,100.00",REDACTED,30/06/2017,Welcome Inn,26-28 Cricklewood Lane,London,,,NW2 1HB,09/01/2025,NONE
2244001000000A,SHOP AND PREMISES,"£19,250.00",REDACTED,31/03/2023,100 High Street,Barnet,Hertfordshire,,,EN5 5XQ,15/08/2023,NONE
22440009800018,RESTAURANT AND PREMISES,"£55,000.00",REDACTED,31/03/2023,98 High Street,Barnet,Hertfordshire,,,EN5 5XQ,15/08/2023,NONE
280000800001,STORE AND PREMISES,"£19,500.00",REDACTED,21/05/2024,8 Adrian Avenue,London,,,,NW2 1LX,25/03/2025,INDUSTRIAL
22400094000017,SHOP AND PREMISES,"£10,500.00",REDACTED,05/08/2025,940 High Road,London,,,,N12 9RT,28/07/2025,3 MONTHS
31620001010029,OFFICES AND PREMISES,"£9,600.00",REDACTED,21/03/2025,2nd Fl 10a,North End Road,London,,,NW11 7HT,21/03/2025,NONE
32600002000014,SHOP AND PREMISES,"£5,000.00",REDACTED,05/10/2011,20 Oakleigh Road South,London,,,,N11 1NH,20/04/2009,NONE
16740002906018,SHOP AND PREMISES,"£16,000.00",REDACTED,09/10/2020,29 Friern Barnet Road,London,,,,N11 1NE,09/10/2020,NONE
44800007100059,WORKSHOP AND PREMISES,"£1,725.00",REDACTED,17/10/2023,Bst,71 Watling Avenue,Edgware,,,HA8 0LD,17/10/2023,DE-MINIMUS RATEABLE VALUE
5900011510102,FITNESS CENTRE & PREMISES,"£28,500.00",REDACTED,01/01/2020,1st Floor,115A Brunswick Park Road,London,,,N11 1EA,05/05/2025,INDUSTRIAL
45420012910013,ADVERTISING RIGHT AND PREMISES,"£64,000.00",REDACTED,31/08/2021,Advertising Site,129 West Hendon Broadway,London,,,NW9 7DY,27/11/2024,NONE
2244001651017A,OFFICES AND PREMISES,"£3,850.00",REDACTED,01/08/2022,Rm 1l 1st Flr South,Highstone House,165 High Street,Barnet,Hertfordshire,EN5 5SU,01/08/2022,NONE
22440019620002,RESTAURANT AND PREMISES,"£36,500.00",REDACTED,15/01/2024,196 High Street,Barnet,,,,EN5 5SZ,11/12/2024,NONE
16740003700022,RESTAURANT AND PREMISES,"£21,750.00",REDACTED,24/04/2024,35-37 Friern Barnet Road,London,,,,N11 1ND,10/01/2024,NONE
45420021100013,RESTAURANT AND PREMISES,"£18,000.00",REDACTED,06/11/2019,211 The Broadway,London,,,,NW9 7DE,22/06/2023,NONE
4720002320001A,SHOP AND PREMISES,"£13,250.00",REDACTED,01/04/2023,232 Woodhouse Road,London,,,,N12 0RS,11/12/2024,NONE
5900011510066,WORKSHOP AND PREMISES,"£26,500.00",REDACTED,01/04/2020,Trendy House,2a Brunswick Avenue,London,,,N11 1JP,11/09/2017,INDUSTRIAL
0220001591002B,OFFICES AND PREMISES,"£5,300.00",REDACTED,13/06/2025,159a Ballards Lane,London,,,,N3 1LJ,27/07/2023,NONE
44760000300019,SHOP AND PREMISES,"£12,250.00",REDACTED,23/06/2023,3 Watford Way,London,,,,NW4 3JL,23/06/2023,NONE
15820074610058,OFFICES AND PREMISES,"£29,250.00",REDACTED,13/12/2021,2nd Fl 746,Finchley Road,London,,,NW11 7TH,23/03/2021,NONE
8440090120005,FACTORY AND PREMISES,"£27,500.00",REDACTED,01/04/2000,Forge Buildings,Chipping Close,Barnet,Hertfordshire,,EN5 4LR,05/02/2025,NONE
11040034010033,SHOP AND PREMISES,"£4,100.00",REDACTED,01/07/2011,340a Cricklewood Lane,London,,,,NW2 2QH,18/02/2011,NONE
13380002100005,SHOP AND PREMISES,"£12,750.00",REDACTED,01/04/2000,21 East Barnet Road,Barnet,,,,EN4 8RN,28/05/2023,NONE
22440003700018,RESTAURANT AND PREMISES,"£18,250.00",REDACTED,01/04/2000,37 High Street,Barnet,Hertfordshire,,,EN5 5UW,14/06/2025,NONE
11040034000027,SHOP AND PREMISES,"£5,000.00",REDACTED,28/12/2011,340 Cricklewood Lane,London,,,,NW2 2QH,28/12/2011,NONE
3162000101000B,OFFICES AND PREMISES,"£15,750.00",REDACTED,17/07/2025,1st Flr,10A North End Road,London,,,NW11 7HT,17/04/2025,NONE
11020018800019,SHOP AND PREMISES,"£16,750.00",REDACTED,14/09/2023,188 Cricklewood Broadway,London,,,,NW2 3EB,14/09/2023,NONE
21860040100018,SHOP AND PREMISES,"£7,500.00",REDACTED,16/07/2019,401 Hendon Way,London,,,,NW4 3LH,30/11/2018,NONE
24500095310019,WORKSHOP AND PREMISES,"£15,250.00",REDACTED,01/07/2025,Unit B4 Connaught Business Centre,Hyde Estate Road,London,,,NW9 6JL,01/07/2025,INDUSTRIAL
44080090420008,LAND USED FOR STORAGE AND PREMISES,"£4,550.00",REDACTED,29/09/2023,Yard Front,Victoria Lane,Barnet,Hertfordshire,,EN5 5UW,29/09/2023,LAND
44080090220006,VEHICLE REPAIR WORKSHOP AND PREMISES,"£16,000.00",REDACTED,29/09/2023,Workshop,Victoria Lane,Barnet,Hertfordshire,,EN5 5UW,29/09/2023,NONE
44280002600004,OFFICE AND PREMISES,"£16,500.00",REDACTED,24/09/2024,26 Vivian Avenue,London,,,,NW4 3XP,24/09/2024,NONE
44800006200013,SHOP AND PREMISES,"£17,250.00",REDACTED,26/06/2024,62 Watling Avenue,Edgware,,,,HA8 0LT,26/09/2024,NONE
22380005410018,SHOP AND PREMISES,"£13,000.00",REDACTED,09/07/2024,54 High Road,London,,,,N2 9PN,09/07/2024,NONE
8700002800001,SHOP AND PREMISES,"£7,600.00",REDACTED,01/04/2025,28 Church Hill Road,Barnet,,,,EN4 8TB,01/04/2025,NONE
4040004019028,STORE AND PREMISES,"£4,200.00",REDACTED,26/02/2018,R/o,40 Bohun Grove,Barnet,Hertfordshire,,EN4 8UB,26/02/2018,NONE
2200013700001,SHOP AND PREMISES,"£21,500.00",REDACTED,09/09/2024,137 Ballards Lane,London,,,,N3 1LJ,09/09/2024,NONE
316200018A0007,OFFICES AND PREMISES,"£13,750.00",REDACTED,30/04/2025,1st Flr 18a,North End Road,London,,,NW11 7PH,30/04/2025,NONE
32580024900016,SHOP AND PREMISES,"£7,400.00",REDACTED,12/08/2021,249 Oakleigh Road North,London,,,,N20 0TX,12/08/2021,NONE
37660007300019,SHOP AND PREMISES,"£6,100.00",REDACTED,07/03/2025,73 Russell Lane,London,,,,N20 0BB,07/03/2025,NONE
44281003300005,CLUB AND PREMISES,"£1,675.00",REDACTED,29/04/2021,33 Park Mansions,Vivian Avenue,London,,,NW4 3UU,29/04/2021,DE-MINIMUS RATEABLE VALUE
4014000781001B,SHOP AND PREMISES,"£9,200.00",REDACTED,20/02/2024,78 Southover,London,,,,N12 7HB,20/02/2024,NONE
20280029210048,OFFICES AND PREMISES,"£14,750.00",REDACTED,24/03/2022,1st Floor Left 292-294,Hale Lane,Edgware,,,HA8 8NP,31/01/2022,NONE
20280029210029,OFFICES AND PREMISES,"£16,000.00",REDACTED,02/03/2024,1st Fl Right 292-294,Hale Lane,Edgware,,,HA8 8NP,02/03/2024,NONE
3820000400015,SHOP AND PREMISES,"£13,250.00",REDACTED,29/09/2005,4 Bittacy Hill,London,,,,NW7 1LB,16/06/2023,NONE
17820004810016,SHOP AND PREMISES,"£3,850.00",REDACTED,01/12/2020,Unit 2 At,48 Glengall Road,Edgware,,,HA8 8SX,14/05/2025,NONE
34220000400007,OFFICES AND PREMISES,"£18,750.00",REDACTED,30/06/2025,4 Percy Road,London,,,,N12 8BU,30/06/2025,NONE
16742003100013,CAFE AND PREMISES,"£12,250.00",REDACTED,26/04/2022,31 Queens Parade,Friern Barnet Road,London,,,N11 3DA,26/04/2022,NONE
36360023510063,OFFICES AND PREMISES,"£6,200.00",REDACTED,05/08/2025,2nd F 235,Regents Park Road,London,,,N3 3LG,05/08/2025,3 MONTHS
40860024600011,SHOP AND PREMISES,"£27,750.00",REDACTED,11/03/2025,246 Station Road,Edgware,,,,HA8 7AU,11/03/2025,NONE
2238000850003A,SHOP AND PREMISES,"£38,000.00",REDACTED,27/06/2025,85 High Road,London,,,,N2 8AD,27/06/2025,NONE
4096100080000B,SHOP AND PREMISES,"£18,750.00",REDACTED,20/12/2021,8 Station Road,London,,,,NW7 2JU,28/11/2024,NONE
9940012100015,SHOP AND PREMISES,"£11,500.00",REDACTED,01/08/2023,121 Colney Hatch Lane,London,,,,N10 1HD,01/08/2023,NONE
39120000310008,OFFICES AND PREMISES,"£24,500.00",REDACTED,04/08/2023,2nd Floor,3 Shakespeare Road,London,,,N3 1XE,04/08/2023,NONE
22400077510013,SHOP AND PREMISES,"£26,750.00",REDACTED,12/05/2025,775 High Road,London,,,,N12 8JY,12/05/2025,NONE
44760065100011,SHOP AND PREMISES,"£14,250.00",REDACTED,23/01/2019,651 Watford Way,London,,,,NW7 3JR,31/08/2024,NONE
2200013400013,SHOP AND PREMISES,"£23,000.00",REDACTED,01/06/2024,134 Ballards Lane,London,,,,N3 2PA,31/07/2024,NONE
20280029400014,OFFICES AND PREMISES,"£16,500.00",REDACTED,03/01/2018,Gnd Flr,294 Hale Lane,Edgware,,,HA8 8NP,09/06/2024,NONE
5160004800005,SHOP AND PREMISES,"£25,250.00",REDACTED,01/04/2019,48 The Broadway,London,,,,NW7 3LH,01/04/2019,NONE
30560004910485,CAR PARKING SPACE AND PREMISES,£600.00,REDACTED,02/10/2017,Parking Spaces For Unit 18,Intec House,49 Moxon Street,Barnet,Hertfordshire,EN5 5TS,02/10/2017,DE-MINIMUS RATEABLE VALUE
37700002409039,OFFICES AND PREMISES,"£6,700.00",REDACTED,08/11/2024,24a Russell Road,London,,,,NW9 6AL,23/03/2012,NONE
22380023800003,OFFICES AND PREMISES,"£17,000.00",REDACTED,14/06/2014,238 High Road,London,,,,N2 9AH,04/12/2023,NONE
0220003140003B,SHOP AND PREMISES,"£10,250.00",REDACTED,06/04/2019,314 Ballards Lane,London,,,,N12 0EY,06/04/2019,NONE
22400085100004,SHOP AND PREMISES,"£28,000.00",REDACTED,19/12/2024,851 High Road,London,,,,N12 8PT,22/01/2025,NONE
4600013010007,OFFICES AND PREMISES,"£18,250.00",MTALX Limited,24/01/2018,1st Floor,130-132 Brent Street,London,,,NW4 2DR,23/05/2023,NONE
22440011120144,OFFICES AND PREMISES,"£12,750.00",Neg The Spires Limited,02/07/2021,Centre Managers Office,14 The Spires Shopping Centre,111 High Street,Barnet,Hertfordshire,EN5 5XY,02/07/2021,NONE
22440011121109,SHOP AND PREMISES,"£25,500.00",Neg The Spires Limited,10/03/2025,10 The Spires Shopping Centre 111,High Street,Barnet,Hertfordshire,,EN5 5XY,10/03/2025,NONE
2718000162000B,OFFICES AND PREMISES,"£14,750.00",Netbond Uk Limited,24/12/2013,16 Lodge Road,London,,,,NW4 4DD,14/10/2015,NONE
4094000259001B,LAND USED FOR STORAGE AND PREMISES,"£37,000.00",Network Rail Infrastructure Limited,24/04/2013,Toyota Yard R/o Hendon Station,Station Road,London,,,NW4 4PN,24/04/2013,LAND
40860002900009,SHOP AND PREMISES,"£11,500.00",Nexahub Limited,25/12/2024,29 Station Road,Edgware,,,,HA8 7HX,18/09/2025,3 MONTHS
22380021110017,SHOP AND PREMISES,"£18,750.00",NM Pensions Trustees Limited,11/08/2025,211 High Road,London,,,,N2 8AN,11/08/2025,3 MONTHS
31900000010041,COMMUNICATION STATION AND PREMISES,"£8,200.00",On Tower UK Limited,01/04/2023,Telecommunication Station O/s Kfc,Northway Circus,London,,,NW7 3ET,31/03/2023,SECTION 65 COMMUNICATION STATION
2460025729008,COMMUNICATION STATION AND PREMISES,"£6,700.00",Orange Personal Communications Services Limited,01/04/2007,Transmitter Mast Hightway Site (gln7295) Jnc Barnet Road,Barnet Road,Barnet,Hertfordshire,,EN5 3LF,30/04/2013,SECTION 65 COMMUNICATION STATION
5080003010007,COMMUNICATION STATION AND PREMISES,"£6,700.00",Orange Personal Communications Services Limited,01/04/2005,Transmitter Mast Highway Site (gln7400),At Lamp-Post No 30,Broadfields Avenue,Edgware,,HA8 8PG,24/04/2013,SECTION 65 COMMUNICATION STATION
6340000010008,COMMUNICATION STATION AND PREMISES,"£6,900.00",Orange Personal Communications Services Limited,01/04/2010,Transmitter Mast Highway Site (gln7398),Stand Alone Post,Burtonhole Lane,London,,NW7 4ZZ,24/05/2013,SECTION 65 COMMUNICATION STATION
28560000010003,COMMUNICATION STATION AND PREMISES,"£7,300.00",Orange Personal Communications Services Limited,01/04/2005,Transmitter Mast Highway Site (gln7401),At Standalone Post,Marlborough Avenue,Edgware,,HA8 8UH,23/05/2013,SECTION 65 COMMUNICATION STATION
2400000010002,COMMUNICATION STATION AND PREMISES,"£7,500.00",Orange Personal Communications Services Limited,01/04/2005,Transmitter Mast Highway Ste (gln3253) On,Highways Land,Barnet Lane,Barnet,Hertfordshire,EN5 2DW,07/05/2013,SECTION 65 COMMUNICATION STATION
18180008500019,SHOP AND PREMISES,"£28,750.00",Ortal Holdings Ltd,20/10/2022,85 Golders Green Road,London,,,,NW11 8EN,20/10/2022,LISTED
45420026310041,ADVERTISING RIGHT AND PREMISES,"£5,100.00",Outdoor Plus Limited,09/11/2016,Adv Right No 030401 Flank Wall,263 The Broadway,London,,,NW9 7DJ,08/04/2025,NONE
17541001120006,RETAIL WAREHOUSE AND PREMISES,"£340,000.00",Palmbest Limited,05/07/2024,Unit 11,Staples Corner Retail Park,Geron Way,London,,NW2 6LW,15/03/2024,NONE
7520000900005,SHOP AND PREMISES,"£16,000.00",Papa John'S (gb) Limited,16/05/2024,9 Central Circus,London,,,,NW4 3JS,15/05/2024,NONE
40420022400006,DAY NURSERY AND PREMISES,"£28,000.00",Pentland Brands Limited,01/04/2000,224 Squires Lane,London,,,,N3 2QT,31/08/2021,NONE
40420020210014,OFFICES AND PREMISES,"£217,000.00",Pentland Brands Limited,31/07/2020,1st-3rd Flrs West Building Tower,202-204 Squires Lane,London,,,N3 1QT,08/05/2024,NONE
44760052610088,OFFICES AND PREMISES,"£2,075.00",REDACTED,01/10/2024,Room 16,526-528 Watford Way,London,,,NW7 4RS,01/10/2024,DE-MINIMUS RATEABLE VALUE
40862000520003,SHOP AND PREMISES,"£14,000.00",Places For London Limited,01/06/2025,Unit 5 Edgware Station Forecourt,Station Road,Edgware,,,HA8 7AW,01/06/2025,NONE
2246000181092A,ADVERTISING RIGHT AND PREMISES,"£1,200.00",Primesight Ltd,01/04/2017,Primesight Advertising Right  Adj,18-24 High Street,Edgware,,,HA8 7RP,01/05/2025,DE-MINIMUS RATEABLE VALUE
22440009300009,SHOP AND PREMISES,"£53,000.00",Princely Property Limited,01/05/2025,93 High Street,Barnet,Hertfordshire,,,EN5 5UR,24/03/2024,NONE
22260000210101,OFFICES AND PREMISES,"£4,700.00",Proof Investments Ltd,13/05/2022,Office 1,Zohar Court,2A Highfield Avenue,London,,NW11 9ET,13/05/2022,NONE
32580000700017,SHOP AND PREMISES,"£28,500.00",Rafflewood Trust,21/11/2019,7 Oakleigh Road North,London,,,,N20 9HE,21/11/2019,NONE
5160005510002,SHOP AND PREMISES,"£43,500.00",RAMCO (Harlow) Limited,01/02/2025,Gnd Flr,55 The Broadway,London,,,NW7 3DA,01/02/2025,NONE
36360031410133,OFFICES AND PREMISES,"£27,500.00",Real Ideas Limited,05/04/2025,4th Fl Rear 314,Regents Park Road,London,,,N3 2JX,05/04/2025,NONE
21860039710011,OFFICES AND PREMISES,"£7,200.00",Red Block 2 Limited,06/08/2025,Suite 1,Prospect House,397-399 Hendon Way,London,,NW4 3LE,01/01/2025,NONE
4809500150000A,OFFICES AND PREMISES,"£9,900.00",Redrow Homes Ltd,01/09/2017,15 Lismore Boulevard,London,,,,NW9 4DE,08/08/2019,NONE
22400088410018,SHOP AND PREMISES,"£28,750.00",Restoractive Ltd,09/07/2025,884 High Road,London,,,,N12 9RH,25/12/2024,NONE
17320001120004,WAREHOUSE AND PREMISES,"£72,500.00",Rexel Uk Limited,25/03/2021,Unit 11 Garrick Industrial Centre,Irving Way,London,,,NW9 6AQ,01/05/2025,NONE
43080006600007,SHOP AND PREMISES,"£17,750.00",Rka London Ltd,26/06/2025,66 Totteridge Lane,London,,,,N20 8QG,16/03/2024,NONE
18180000500013,SHOP AND PREMISES,"£39,250.00",Rockaria Investments Inc,10/10/2023,5 Golders Green Road,London,,,,NW11 8EE,10/10/2023,NONE
19020090510101,WORKSHOP AND PREMISES,"£2,650.00",Romco Equipment Ltd,08/09/2000,Unit 9l Meadow Works,Great North Road,Barnet,Hertfordshire,,EN5 1AD,01/09/2005,INDUSTRIAL
9900003010038,OFFICES AND PREMISES,"£63,000.00",Rookwood Trading Ltd,01/08/2025,Unit 3,50 Colindeep Lane,London,,,NW9 6HE,01/05/2025,NONE
5160005510036,OFFICES AND PREMISES,"£12,000.00",Room For Faith Ltd,18/06/2024,1st Flr,55 The Broadway,London,,,NW7 3DA,28/11/2024,NONE
40940002590025,WAREHOUSE AND PREMISES,"£337,500.00",Room For Faith Ltd,01/11/2022,Jemca Warehouse R/o Hendon Station,Station Road,London,,,NW4 4PN,10/04/2024,NONE
17320000920003,WAREHOUSE AND PREMISES,"£68,500.00",Ropemaker Properties Limited,18/09/2025,Unit 9,Garrick Industrial Centre Irving Way,London,,,NW9 6AQ,18/09/2025,INDUSTRIAL
013800002M9002,COMMUNICATION STATION AND PREMISES,"£20,000.00",Roundtree Ventures Limited,11/05/2010,Roof Top (nw0021) At,Laurentian House,Armitage Road,London,,NW11 8RQ,26/08/2009,SECTION 65 COMMUNICATION STATION
180000210023,OFFICES AND PREMISES,"£12,000.00",Rt Estates Ltd,30/06/2025,1st Flr 2,Accommodation Road,London,,,NW11 8ED,01/05/2025,NONE
180000210038,OFFICES AND PREMISES,"£17,500.00",Rt Estates Ltd,30/06/2025,Gnd Flr,2A Accommodation Road,London,,,NW11 8ED,31/05/2025,NONE
22380012110022,SHOP AND PREMISES,"£22,500.00",S&E Plutus Ltd,12/06/2025,121 High Road,London,,,,N2 8AG,04/07/2024,NONE
224400007F0014,SHOP AND PREMISES,"£13,000.00",Sahch Limited,14/05/2025,7f High Street,Barnet,Hertfordshire,,,EN5 5UE,02/05/2025,NONE
13380004210042,SHOP AND PREMISES,"£10,750.00",Sainsburys Supermarkets Ltd,24/04/2023,Lloyds Pharmacy,42-68 East Barnet Road,Barnet,Hertfordshire,,EN4 8RQ,24/04/2023,NONE
2200000110881,OFFICES AND PREMISES,"£1,350.00",Salaft Properties Limited,23/08/2023,Suite 8 8th Flr Central House 1,Ballards Lane,London,,,N3 1UX,23/08/2023,DE-MINIMUS RATEABLE VALUE
2200000110097,OFFICES AND PREMISES,"£2,225.00",Salaft Properties Limited,05/08/2025,Suite 2.09 2nd Flr,Central House,1 Ballards Lane,London,,N3 1UX,05/08/2025,DE-MINIMUS RATEABLE VALUE
2200000110152,OFFICES AND PREMISES,"£2,225.00",Salaft Properties Limited,01/03/2024,Rm 2.06 2nd Flr,Central House,1 Ballards Lane,London,,N3 1UX,31/01/2024,DE-MINIMUS RATEABLE VALUE
2200000110538,OFFICES AND PREMISES,"£3,300.00",Salaft Properties Limited,16/05/2018,Suite 3 5th Flr Central House 1,Ballards Lane,London,,,N3 1UX,31/07/2018,NONE
0220000011410B,OFFICES AND PREMISES,"£3,850.00",Salaft Properties Limited,01/10/2024,Suite 10 4th Flr Central House 1,Ballards Lane,London,,,N3 1UX,01/10/2024,NONE
2200000123044,OFFICES AND PREMISES,"£7,300.00",Salaft Properties Limited,01/12/2022,Suite 3.4 3rd Flr,Central House,1 Ballards Lane,London,,N3 1UX,01/12/2022,NONE
2200000110186,OFFICES AND PREMISES,"£41,750.00",Salaft Serviced Offices Limited,01/12/2023,Gnd Flr,Central House,1 Ballards Lane,London,,N3 1UX,01/12/2023,NONE
22460005610298,OFFICES AND PREMISES,"£1,275.00",Sangerwal Money Transfer Services Ltd,13/03/2023,Office 3 Part 2nd Flr Left,Elizabeth House,56-58 High Street,Edgware,,HA8 7ER,13/03/2023,DE-MINIMUS RATEABLE VALUE
2240007411057A,OFFICES AND PREMISES,"£5,400.00",Sansprine Limited,01/04/2017,Room 126 1st Flr,Balfour House,741 High Road,London,,N12 0BP,09/12/2022,NONE
22400074110551,OFFICES AND PREMISES,"£7,500.00",Sansprine Limited,01/04/2017,Room 113 1st Flr,Balfour House,741 High Road,London,,N12 0BP,01/04/2025,NONE
22400074110617,OFFICES AND PREMISES,"£17,000.00",Sansprine Limited,01/04/2023,Room 129 1st Flr,Balfour House,741 High Road,London,,N12 0BP,01/04/2023,NONE
22400074110284,OFFICES AND PREMISES,"£22,250.00",Sansprine Limited,19/06/2020,Rooms 201-204 2nd Flr,Balfour House,741 High Road,London,,N12 0BP,15/06/2020,NONE
22400074110547,OFFICES AND PREMISES,"£40,500.00",Sansprine Ltd,10/09/2021,Rooms 102-106 1st Flr,Balfour House,741 High Road,London,,N12 0BP,10/09/2021,NONE
2200005000019,BANK AND PREMISES,"£51,000.00",Santander Uk Plc,01/04/2000,50 Ballards Lane,London,,,,N3 2BU,07/08/2025,3 MONTHS
41440001010018,STORE AND PREMISES,"£32,250.00",Sapphire Cippenham Limited,10/01/2025,10-10a,Summers Row,London,,,N12 0LD,10/01/2025,NONE
25660000010013,SPORTS GROUND AND PREMISES,"£3,950.00",Saracens High School,21/11/2022,Lanacre Site Playing Fields,Lanacre Avenue,London,,,NW9 5QG,22/06/2023,NONE
12460002000006,SURGERY AND PREMISES,"£45,500.00",Savoy Group Derwent Crescent Limited,28/03/2025,20 Derwent Crescent,London,,,,N20 0QQ,10/09/2025,3 MONTHS
260000110027,STORE AND PREMISES,"£3,050.00",Scan Properties Ltd,24/03/2013,Stores Y,1-7 Addison Way,London,,,NW11 6AL,24/03/2013,NONE
40940002710018,PUBLIC HOUSE AND PREMISES,"£16,100.00",Sd Midland Building Ltd,13/11/2024,Midland Hotel,29 Station Road,London,,,NW4 4PR,13/11/2024,NONE
2184009072000A,POLICE STATION AND PREMISES,"£62,000.00",Secretary of State Transport Highways Agency,24/08/2014,New Scratchwood Police Post,Hendon Urban Motorway,London,,,NW7 3JA,24/08/2014,NONE
0220003180000B,RESTAURANT AND PREMISES,"£14,000.00",Select Bar & Lounge Ltd,01/11/2021,318 Ballards Lane,London,,,,N12 0EY,04/12/2024,NONE
22420132510019,SHOP AND PREMISES,"£14,000.00",Sgaro Limited,19/03/2021,Gnd Fl,1325 High Road,London,,,N20 9HR,19/03/2024,NONE
22460009210047,STORE AND PREMISES,"£4,600.00",Sharel Investments Ltd,21/03/2014,92b High Street,Edgware,,,,HA8 7HF,28/04/2014,INDUSTRIAL
30560004910428,CAR PARKING SPACE AND PREMISES,£300.00,Sherry's Interiors Limited,02/10/2017,Parking Space For Unit 24,Intec House,49 Moxon Street,Barnet,Hertfordshire,EN5 5TS,02/10/2017,DE-MINIMUS RATEABLE VALUE
2200000500008,SHOP AND PREMISES,"£26,250.00",Shf Ventures Limited,19/08/2025,5 Ballards Lane,London,,,,N3 1UX,19/08/2025,3 MONTHS
1338001372000A,SHOP AND PREMISES,"£17,000.00",SK Repairs Ltd,15/06/2025,137-139 East Barnet Road,Barnet,Hertfordshire,,,EN4 8QZ,03/09/2025,NONE
